"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","Type of mortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Residential mortgages, uninsured","Dollars","81","millions","6","v36423","1.2.10.4","330","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36438","1.2.10.6","77","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Repayment of principal","Non-residential, farm mortgages","Dollars","81","millions","6","v36453","1.2.10.7","23","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Total, mortgages","Dollars","81","millions","6","v36473","1.2.11.1","49","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Residential mortgages, insured","Dollars","81","millions","6","v36488","1.2.11.3","21","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Residential mortgages, uninsured","Dollars","81","millions","6","v36424","1.2.11.4","27","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36439","1.2.11.6","1","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Sales of mortgages to","Non-residential, farm mortgages","Dollars","81","millions","6","v36454","1.2.11.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total, mortgages","Dollars","81","millions","6","v36474","1.2.12.1","46","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36489","1.2.12.3","18","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36425","1.2.12.4","27","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36440","1.2.12.6","1","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36455","1.2.12.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Total, mortgages","Dollars","81","millions","6","v36475","1.2.13.1","2","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, insured","Dollars","81","millions","6","v36490","1.2.13.3","2","","","","0"
