"REF_DATE","GEO","DGUID","Rates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1994-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1994-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.04","","","","2"
"1994-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.50","","","","2"
"1994-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.60","","","","2"
"1994-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.25","","","","2"
"1994-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.54","","","","2"
"1994-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1994-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.62","","","","2"
"1994-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1994-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.04","","","","2"
"1994-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1994-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.43","","","","2"
"1994-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1995-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.38","","","","2"
"1995-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.25","","","","2"
"1995-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.38","","","","2"
"1995-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.50","","","","2"
"1995-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.47","","","","2"
"1995-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.75","","","","2"
"1995-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","8.17","","","","2"
"1995-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.75","","","","2"
"1995-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.64","","","","2"
"1995-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","9.25","","","","2"
"1995-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.97","","","","2"
"1995-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.75","","","","2"
"1995-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.87","","","","2"
"1995-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.25","","","","2"
"1995-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.59","","","","2"
"1995-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1995-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.71","","","","2"
"1995-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1995-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","7.65","","","","2"
"1995-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","8.00","","","","2"
"1995-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","6.07","","","","2"
"1995-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.75","","","","2"
"1995-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.79","","","","2"
"1995-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.50","","","","2"
"1996-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.37","","","","2"
"1996-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.25","","","","2"
"1996-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.50","","","","2"
"1996-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","7.00","","","","2"
"1996-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.25","","","","2"
"1996-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.75","","","","2"
"1996-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1996-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1996-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1996-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1996-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","5.00","","","","2"
"1996-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.50","","","","2"
"1996-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.75","","","","2"
"1996-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","6.25","","","","2"
"1996-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.25","","","","2"
"1996-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1996-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","4.25","","","","2"
"1996-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.75","","","","2"
"1996-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.50","","","","2"
"1996-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.00","","","","2"
"1996-11","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1996-11","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1996-12","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1996-12","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-01","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-01","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-02","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-02","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-03","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-03","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-04","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-04","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-05","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-05","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-06","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.25","","","","2"
"1997-06","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-07","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.50","","","","2"
"1997-07","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-08","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.50","","","","2"
"1997-08","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-09","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.50","","","","2"
"1997-09","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","4.75","","","","2"
"1997-10","Canada","2016A000011124","Bank rate","Percent","239","units ","0","v122530","1.2","3.75","","","","2"
"1997-10","Canada","2016A000011124","Chartered bank administered interest rates - prime business","Percent","239","units ","0","v122495","1.3","5.25","","","","2"
